"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2015","2015",95,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2016","2016",95,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2017","2017",94,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2018","2018",94,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2019","2019",94,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2010","2010",99.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2011","2011",99.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2012","2012",99.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2013","2013",99.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2014","2014",99.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2015","2015",99.7,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2016","2016",99.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2017","2017",99.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2018","2018",99.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2019","2019",99.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2020","2020",99.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2020","2020",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ITA","Italy","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","JPN","Japan","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","KOR","Korea","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","LUX","Luxembourg","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","LUX","Luxembourg","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","LUX","Luxembourg","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2010","2010",82.4,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2011","2011",89.2,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2012","2012",89.6,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2013","2013",91.6,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2014","2014",92.9,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2015","2015",92.3,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2016","2016",89.8,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2017","2017",89.3,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2018","2018",88.3,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2019","2019",80.6,"E; B","Estimated value; Break"
"COVGCMED","Total health care","TOTPOPTX","% of total population","MEX","Mexico","2020","2020",72.4,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2010","2010",99.6,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2011","2011",99.6,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2012","2012",99.7,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2013","2013",99.8,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2014","2014",99.8,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2015","2015",99.8,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2016","2016",99.9,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2017","2017",99.9,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2018","2018",99.9,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NLD","Netherlands","2019","2019",99.9,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NZL","New Zealand","2020","2020",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","NOR","Norway","2020","2020",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2010","2010",97.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2011","2011",96.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2012","2012",91,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2013","2013",91.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2014","2014",91.3,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2015","2015",91,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2016","2016",91.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2017","2017",92.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2018","2018",92.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2019","2019",93.4,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","POL","Poland","2020","2020",93.3,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","PRT","Portugal","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2010","2010",94.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2011","2011",95.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2012","2012",95,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2013","2013",94.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2014","2014",94.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2015","2015",93.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2016","2016",94.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2017","2017",94.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2018","2018",94.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2019","2019",94.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SVK","Slovak Republic","2020","2020",94.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ESP","Spain","2011","2011",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ESP","Spain","2014","2014",99.1,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ESP","Spain","2017","2017",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ESP","Spain","2018","2018",100,"B","Break"
"COVGCMED","Total health care","TOTPOPTX","% of total population","ESP","Spain","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ESP","Spain","2020","2020",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","SWE","Sweden","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CHE","Switzerland","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2010","2010",96.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2011","2011",97.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2012","2012",98.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2013","2013",98,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2014","2014",98.4,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2015","2015",98.4,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2016","2016",98.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2017","2017",99.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2018","2018",98.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","TUR","Turkey","2019","2019",98.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2010","2010",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2011","2011",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2012","2012",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2013","2013",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2014","2014",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2018","2018",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GBR","United Kingdom","2019","2019",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2010","2010",30.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2011","2011",31.8,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2012","2012",32.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2013","2013",33,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2014","2014",34.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2015","2015",35.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","USA","United States","2016","2016",36.3,,
